Journal Name,Abbreviation,Subject Area,Scope,Keywords,Impact Factor,Submission Types,Open Access,URL,ISSN (Print),ISSN (Electronic),Description
Frontiers in Arachnid Science,Front. Arachn. Sci.,Life Sciences,Spider and arachnid research,Arachnids; Spiders; Mites; Toxicology; Behavior; Evolution,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/arachnid-science,,2813-5083,Dedicated to research on arachnids including biology ecology and venom science
Frontiers in Artificial Intelligence,Front. Artif. Intell.,Engineering & Technology,Artificial intelligence and machine learning,Artificial intelligence; Machine learning; Deep learning; Neural networks; AI applications,4.7,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/artificial-intelligence,,2624-8212,A leading journal in AI research covering theory applications and societal impacts
Frontiers in Astronomy and Space Sciences,Front. Astron. Space Sci.,Engineering & Technology,Astronomy astrophysics and space science,Astronomy; Astrophysics; Space science; Cosmology; Observational astronomy,2.6,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/astronomy-and-space-sciences,,2296-987X,Publishes research in astronomy space science and related observational studies
Frontiers in Audiology and Otology,Front. Audiol. Otol.,Medicine & Health,Hearing and ear disorders,Audiology; Otology; Hearing loss; Vestibular disorders; Ear disease; Cochlear implants,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/audiology-and-otology,,2813-6055,Covers hearing research and clinical otology including auditory rehabilitation
Frontiers in Bacteriology,Front. Bacteriol.,Life Sciences,Bacterial research and microbiology,Bacteriology; Microbiology; Bacterial physiology; Pathogenesis; Bacterial genetics,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/bacteriology,,2813-6144,Focuses on bacterial biology including genetics physiology and pathogenesis
Frontiers in Batteries and Electrochemistry,Front. Batter. Electrochem.,Engineering & Technology,Battery technology and electrochemical systems,Batteries; Electrochemistry; Energy storage; Fuel cells; Battery materials,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/batteries-and-electrochemistry,,2813-4974,Covers battery technology electrochemical processes and energy storage solutions
Frontiers in Bee Science,Front. Bee Sci.,Life Sciences,Apiology and bee research,Apiology; Bee biology; Honey bee; Pollination; Entomology; Bee health,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/bee-science,,2813-5911,Dedicated to research on bee biology ecology and health including pollination services
Frontiers in Behavioral Economics,Front. Behav. Econ.,Social Sciences & Humanities,Behavioral and experimental economics,Behavioral economics; Economic behavior; Decision making; Game theory; Experimental economics,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/behavioral-economics,,2813-5296,Explores economic behavior and decision-making with behavioral and experimental approaches
Frontiers in Behavioral Neuroscience,Front. Behav. Neurosci.,Life Sciences,Behavioral and neural mechanisms,Behavioral neuroscience; Neurobiology of behavior; Animal behavior; Behavioral pharmacology; Neural circuits,2.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/behavioral-neuroscience,,1662-5153,Examines neural mechanisms underlying behavior and the effects of drugs on behavior
Frontiers in Big Data,Front. Big Data,Engineering & Technology,Big data analytics and processing,Big data; Data science; Analytics; Data mining; Machine learning; Computational methods,2.3,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/big-data,,2624-909X,Publishes research on big data analytics methods and applications across domains
Frontiers in Bioengineering and Biotechnology,Front. Bioeng. Biotechnol.,Engineering & Technology,Bioengineering and biotechnology applications,Bioengineering; Biotechnology; Tissue engineering; Genetic engineering; Bioproducts,4.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/bioengineering-and-biotechnology,,2296-4185,A leader in bioengineering research covering tissue engineering and bioproducts
Frontiers in Bioinformatics,Front. Bioinform.,Life Sciences,Computational biology and bioinformatics,Bioinformatics; Computational biology; Genomics; Systems biology; Sequence analysis,3.9,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/bioinformatics,,2673-7647,Covers computational and informatic approaches to biological research
Frontiers in Biomaterials Science,Front. Biomater. Sci.,Engineering & Technology,Biomaterial design and applications,Biomaterials; Materials science; Biocompatibility; Tissue engineering; Polymer science,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/biomaterials-science,,2813-3749,Focuses on biomaterial development for medical and biotechnology applications
Frontiers in Biophysics,Front. Biophys.,Engineering & Technology,Biophysical research and molecular physics,Biophysics; Molecular physics; Protein structure; Biochemistry; Biophysical methods,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/biophysics,,2813-7183,Covers biophysical research including molecular structure and dynamics
Frontiers in Bird Science,Front. Bird Sci.,Life Sciences,Ornithology and avian research,Ornithology; Bird biology; Avian ecology; Bird behavior; Conservation; Zoology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/bird-science,,2813-3870,Dedicated to research on birds including ecology behavior and conservation
Frontiers in Blockchain,Front. Blockchain,Engineering & Technology,Blockchain technology and applications,Blockchain; Cryptocurrency; Distributed ledger; Smart contracts; Cryptography; Applications,2.4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/blockchain,,2624-7852,Explores blockchain technology applications and decentralized systems
Frontiers in Built Environment,Front. Built Environ.,Engineering & Technology,Architecture and built environment design,Architecture; Urban design; Building design; Sustainable buildings; Construction,2.7,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/built-environment,,2297-3362,Covers research on architectural design sustainable buildings and urban planning
Frontiers in Cancer Control and Society,Front. Cancer Control Soc.,Medicine & Health,Cancer prevention and public health,Cancer control; Oncology; Public health; Prevention; Health policy; Health disparities,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/cancer-control-and-society,,2813-835X,Addresses cancer prevention control and societal aspects of cancer care
Frontiers in Carbon,Front. Carbon,Engineering & Technology,Carbon materials and carbon-based technologies,Carbon; Graphene; Carbon composites; Carbon capture; Materials; Nanotechnology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/carbon,,2813-4192,Focuses on carbon materials including graphene and carbon-based nanotechnologies
Frontiers in Cardiovascular Medicine,Front. Cardiovasc. Med.,Medicine & Health,Cardiovascular disease research and treatment,Cardiovascular; Cardiology; Heart disease; Hypertension; Vascular biology; Cardiac surgery,2.9,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/cardiovascular-medicine,,2297-055X,Covers cardiovascular disease research from basic science to clinical applications
Frontiers in Catalysis,Front. Catal.,Engineering & Technology,Catalytic chemistry and processes,Catalysis; Chemical reactions; Materials catalysis; Industrial applications; Green chemistry,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/catalysis,,2673-7841,Publishes research on catalytic materials and processes for chemical reactions
Frontiers in Cell and Developmental Biology,Front. Cell Dev. Biol.,Life Sciences,Cell and developmental biology,Developmental biology; Cell biology; Embryogenesis; Morphogenesis; Cell differentiation,4.3,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/cell-and-developmental-biology,,2296-634X,A leader in developmental and cell biology research covering embryonic development
Frontiers in Cell Death,Front. Cell Death,Life Sciences,Cell death mechanisms and apoptosis,Apoptosis; Necrosis; Autophagy; Cell death pathways; Programmed cell death,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/cell-death,,2813-5563,Focuses on different forms of programmed cell death and their regulation
Frontiers in Cellular and Infection Microbiology,Front. Cell. Infect. Microbiol.,Medicine & Health,Cellular microbiology and infection research,Microbiology; Infection; Cellular immunity; Pathogenesis; Immune response,4.8,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/cellular-and-infection-microbiology,,2235-2988,Covers cellular and molecular aspects of microbial infections
Frontiers in Cellular Neuroscience,Front. Cell. Neurosci.,Life Sciences,Cellular and molecular neuroscience,Cellular neuroscience; Neurobiology; Synaptic plasticity; Neuronal signaling; Molecular neuroscience,4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/cellular-neuroscience,,1662-5102,Examines cellular and molecular mechanisms of neuronal function
Frontiers in Ceramics,Front. Ceram.,Engineering & Technology,Ceramic materials and technology,Ceramics; Ceramic materials; Pottery; Glass; Sintering; Materials processing,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/ceramics,,2813-611X,Covers ceramic material development manufacturing and applications
Frontiers in Chemical Biology,Front. Chem. Biol.,Engineering & Technology,Chemical approaches to biology,Chemical biology; Synthetic biology; Medicinal chemistry; Drug discovery; Chemical methods,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/chemical-biology,,2813-530X,Applies chemical approaches to understand and manipulate biological systems
Frontiers in Chemical Engineering,Front. Chem. Eng.,Engineering & Technology,Chemical engineering and processes,Chemical engineering; Process engineering; Reactor design; Unit operations; Separation; Energy,2.6,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/chemical-engineering,,2673-2718,Publishes chemical engineering research including reactor design and process optimization
Frontiers in Chemistry,Front. Chem.,Engineering & Technology,General chemistry and chemical research,Chemistry; Organic chemistry; Inorganic chemistry; Physical chemistry; Chemical reactions,4.2,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/chemistry,,2296-2646,A broad chemistry journal covering all major chemistry subdisciplines
Frontiers in Child and Adolescent Psychiatry,Front. Child Adolesc. Psychiatry,Medicine & Health,Psychiatry and mental health in children and adolescents,Psychiatry; Mental health; Child psychology; Adolescent mental health; Behavioral disorders,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/child-and-adolescent-psychiatry,,2813-4540,Focuses on mental health and psychiatric disorders in pediatric and adolescent populations
Frontiers in Climate,Front. Clim.,Environment & Sustainability,Climate science and climate change,Climate change; Climate science; Global warming; Atmospheric science; Climate modeling,4.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/climate,,2624-9553,Publishes research on climate science and the impacts of climate change
Frontiers in Clinical Diabetes and Healthcare,Front. Clin. Diabetes Healthc.,Medicine & Health,Diabetes management and clinical care,Diabetes; Metabolic disease; Endocrinology; Clinical management; Patient care,2.2,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/clinical-diabetes-and-healthcare,,2673-6616,Covers clinical aspects of diabetes management and treatment
Frontiers in Coatings Dyes and Interface Engineering,Front. Coat. Dyes Interface Eng.,Engineering & Technology,Surface coatings and dye technology,Coatings; Dyes; Surface engineering; Interface science; Paint; Adhesion,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/coatings-dyes-and-interface-engineering,,2813-6861,Focuses on coating materials dye chemistry and interface phenomena
Frontiers in Cognition,Front. Cognit.,Life Sciences,Cognitive science and brain function,Cognitive science; Cognition; Brain function; Learning; Memory; Information processing,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/cognition,,2813-4532,Explores cognitive processes and brain mechanisms underlying human cognition
Frontiers in Communication,Front. Commun.,Social Sciences & Humanities,Communication studies and research,Communication; Media studies; Journalism; Public relations; Speech communication,1.6,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/communication,,2297-900X,Covers communication research including media journalism and public communication
Frontiers in Communications and Networks,Front. Commun. Netw.,Engineering & Technology,Telecommunications and network engineering,Telecommunications; Network engineering; Wireless networks; Communication systems; Signal processing,2.4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/communications-and-networks,,2673-530X,Publishes telecommunications and networking research
Frontiers in Complex Systems,Front. Complex Syst.,Engineering & Technology,Complex systems theory and applications,Complex systems; Systems theory; Network science; Complexity; Nonlinear dynamics,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/complex-systems,,2813-6187,Covers theoretical and applied aspects of complex adaptive systems
Frontiers in Computational Neuroscience,Front. Comput. Neurosci.,Life Sciences,Computational modeling of neural systems,Computational neuroscience; Neural simulation; Mathematical models; Brain modeling; Algorithms,2.3,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/computational-neuroscience,,1662-5195,Publishes computational approaches to neuroscience including neural models
Frontiers in Computer Science,Front. Comput. Sci.,Engineering & Technology,Computer science and computing,Computer science; Algorithms; Software engineering; Computing; Data structures,2.7,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/computer-science,,2624-9898,Covers broad areas of computer science and computational methods
Frontiers in Conservation Science,Front. Conserv. Sci.,Life Sciences,Conservation biology and environmental protection,Conservation; Biodiversity; Ecology; Environmental protection; Species preservation,1.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/conservation-science,,2673-611X,Publishes research on conservation strategies and biodiversity protection
Frontiers in Control Engineering,Front. Control Eng.,Engineering & Technology,Control theory and engineering,Control systems; Automation; Robotics control; Feedback systems; Process control,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/control-engineering,,2673-6268,Covers control theory and engineering applications in automation
Frontiers in Dementia,Front. Dement.,Medicine & Health,Dementia research and care,Dementia; Alzheimer's disease; Neurodegenerative diseases; Cognitive decline; Aging,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/dementia,,2813-3919,Focuses on dementia including Alzheimer's disease and neurodegenerative conditions
Frontiers in Dental Medicine,Front. Dent. Med.,Medicine & Health,Dentistry and oral health,Dentistry; Oral health; Dental medicine; Periodontics; Prosthodontics; Oral surgery,1.8,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/dental-medicine,,2673-4915,Covers dental medicine research and clinical practice
Frontiers in Detector Science and Technology,Front. Detect. Sci. Technol.,Engineering & Technology,Detection technology and sensors,Detector science; Sensors; Detection systems; Measurement; Physics detectors,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/detector-science-and-technology,,2813-8031,Publishes research on detection systems and sensor technology
Frontiers in Developmental Psychology,Front. Dev. Psychol.,Life Sciences,Child and lifespan development psychology,Developmental psychology; Child development; Lifespan development; Cognitive development; Learning,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/developmental-psychology,,2813-7779,Covers psychological development across the lifespan
Frontiers in Digital Health,Front. Digit. Health,Medicine & Health,Digital health and telemedicine,Digital health; Telemedicine; E-health; Health informatics; Mobile health; Health technology,3.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/digital-health,,2673-253X,Covers digital health technologies and telemedicine applications
Frontiers in Disaster and Emergency Medicine,Front. Disaster Emerg. Med.,Medicine & Health,Emergency medicine and disaster response,Emergency medicine; Disaster medicine; Trauma; Emergency care; Crisis management,,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/disaster-and-emergency-medicine,,2813-7302,Focuses on emergency medical care and disaster medicine
Frontiers in Drug Delivery,Front. Drug Deliv.,Life Sciences,Drug delivery systems and methods,Drug delivery; Pharmaceutical delivery; Controlled release; Bioavailability; Drug administration,,Research Article; Review; Methodology,Yes,https://www.frontiersin.org/journals/drug-delivery,2674-0850,2674-0850,Covers novel drug delivery systems and pharmaceutical technologies
Frontiers in Drug Discovery,Front. Drug Discov.,Life Sciences,Drug discovery and development,Drug discovery; Pharmacology; Drug development; Screening; High-throughput screening,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/drug-discovery,2674-0338,2674-0338,Publishes drug discovery research and development strategies
Frontiers in Drug Safety and Regulation,Front. Drug Saf. Regul.,Life Sciences,Pharmaceutical safety and regulation,Drug safety; Pharmacovigilance; Toxicology; Regulatory affairs; Clinical trials,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/drug-safety-and-regulation,,2674-0869,Covers pharmaceutical safety pharmacovigilance and regulatory aspects
Frontiers in Earth Science,Front. Earth Sci.,Engineering & Technology,Geology and earth sciences,Geology; Geosciences; Earth science; Planetary science; Geochemistry; Geophysics,2,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/earth-science,,2296-6463,Publishes research in geology and earth sciences
Frontiers in Ecology and Evolution,Front. Ecol. Evol.,Life Sciences,Ecology evolution and conservation,Ecology; Evolution; Population biology; Evolutionary biology; Biodiversity,2.6,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/ecology-and-evolution,,2296-701X,Covers ecological and evolutionary research including conservation topics
Frontiers in Education,Front. Educ.,Social Sciences & Humanities,Educational research and practice,Education; Pedagogy; Learning sciences; Educational technology; Curriculum,1.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/education,,2504-284X,Publishes educational research and innovations in teaching and learning
Frontiers in Electronic Materials,Front. Electron. Mater.,Engineering & Technology,Electronic materials and devices,Electronic materials; Semiconductors; Materials for electronics; Device physics; Nanotechnology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/electronic-materials,,2673-9895,Covers materials science for electronic and optoelectronic applications
Frontiers in Electronics,Front. Electron.,Engineering & Technology,Electronics and electronic engineering,Electronics; Electronic circuits; Semiconductors; Circuit design; Electronic systems,2.1,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/electronics,,2673-5857,Publishes research in electronics and electronic engineering
Frontiers in Endocrinology,Front. Endocrinol.,Medicine & Health,Endocrinology and hormonal diseases,Endocrinology; Hormones; Endocrine disorders; Diabetes; Thyroid disease; Metabolism,4.6,Research Article; Review; Case Report,Yes,https://www.frontiersin.org/journals/endocrinology,,1664-2392,A leader in endocrinology research covering hormonal diseases
Frontiers in Energy Efficiency,Front. Energy Effic.,Engineering & Technology,Energy efficiency and conservation,Energy efficiency; Energy conservation; Sustainable energy; Building efficiency; Energy management,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/energy-efficiency,,2813-6799,Focuses on energy efficiency solutions and sustainable energy practices
Frontiers in Energy Research,Front. Energy Res.,Engineering & Technology,Energy science and technology,Energy; Renewable energy; Fossil fuels; Energy systems; Power generation; Energy storage,2.4,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/energy-research,,2296-598X,Covers energy research including renewable and sustainable energy technologies
Frontiers in Environmental Archaeology,Front. Environ. Archaeol.,Social Sciences & Humanities,Environmental archaeology and ancient environments,Archaeology; Environmental science; Paleontology; Ancient environments; Archaeological methods,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/environmental-archaeology,,2813-432X,Explores environmental approaches to archaeology and ancient history
Frontiers in Environmental Chemistry,Front. Environ. Chem.,Engineering & Technology,Environmental chemistry and pollution,Environmental chemistry; Water chemistry; Air quality; Pollution; Environmental processes,1.9,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/environmental-chemistry,,2673-4486,Covers chemical processes in the environment and pollution control
Frontiers in Environmental Economics,Front. Environ. Econ.,Social Sciences & Humanities,Environmental economics and sustainability,Environmental economics; Green economy; Sustainability; Economic policy; Resource management,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/environmental-economics,,2813-2823,Publishes research on economic aspects of environmental management
Frontiers in Environmental Engineering,Front. Environ. Eng.,Engineering & Technology,Environmental engineering and remediation,Environmental engineering; Water treatment; Waste management; Pollution control; Remediation,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/environmental-engineering,,2813-5067,Covers environmental engineering solutions for pollution and waste
Frontiers in Environmental Health,Front. Environ. Health,Medicine & Health,Environmental health and occupational health,Environmental health; Public health; Occupational health; Environmental toxicology; Health exposure,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/environmental-health,,2813-558X,Focuses on environmental and occupational health impacts
Frontiers in Environmental Science,Front. Environ. Sci.,Life Sciences,Environmental science and sustainability,Environmental science; Sustainability; Ecology; Climate; Natural resources; Soil science,3.7,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/environmental-science,,2296-665X,A leader in environmental science and sustainability research
Frontiers in Epidemiology,Front. Epidemiol.,Medicine & Health,Epidemiology and disease transmission,Epidemiology; Disease epidemiology; Public health; Infectious disease; Disease modeling,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/epidemiology,,2674-1199,Covers epidemiological research and public health applications
Frontiers in Epigenetics and Epigenomics,Front. Epigenet. Epigenom.,Life Sciences,Epigenetic regulation and genomics,Epigenetics; Gene regulation; DNA methylation; Chromatin; Genetic expression,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/epigenetics-and-epigenomics,,2813-706X,Publishes research on epigenetic mechanisms and gene regulation
Frontiers in Ethology,Front. Ethol.,Life Sciences,Animal behavior and ethology,Ethology; Animal behavior; Behavioral biology; Social behavior; Comparative behavior,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/ethology,,2813-5091,Focuses on animal behavior and behavioral ecology
Frontiers in Fish Science,Front. Fish Sci.,Life Sciences,Ichthyology and fish research,Ichthyology; Fish biology; Fisheries; Fish physiology; Aquatic biology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/fish-science,,2813-9097,Covers fish research including biology and fisheries science
Frontiers in Food Science and Technology,Front. Food Sci. Technol.,Life Sciences,Food science and technology,Food science; Food technology; Nutrition; Food safety; Food processing; Agriculture,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/food-science-and-technology,,2674-1121,Publishes food science and technology research
Frontiers in Forests and Global Change,Front. For. Glob. Change,Environment & Sustainability,Forest science and global environmental change,Forestry; Forest ecology; Climate change; Biodiversity; Conservation; Environmental change,3.2,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/forests-and-global-change,,2624-893X,Addresses forest research in the context of global environmental change
Frontiers in Freshwater Science,Front. Freshw. Sci.,Life Sciences,Freshwater ecology and aquatic science,Freshwater science; Aquatic ecology; Limnology; Water resources; Freshwater biology,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/freshwater-science,,2813-7124,Covers freshwater ecology and aquatic science research
Frontiers in Fuels,Front. Fuels,Engineering & Technology,Fuel science and biofuels,Fuels; Biofuels; Fossil fuels; Combustion; Energy; Alternative fuels,,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/fuels,,2813-6217,Publishes research on fuels including biofuels and combustion
Frontiers in Fungal Biology,Front. Fungal Biol.,Life Sciences,Mycology and fungal research,Mycology; Fungi; Fungal biology; Fungal diseases; Pathogenic fungi,3.8,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/fungal-biology,,2673-6128,Covers fungal biology including mycology and fungal diseases
Frontiers in Future Transportation,Front. Future Transp.,Environment & Sustainability,Transportation and mobility technologies,Transportation; Autonomous vehicles; Mobility; Electric vehicles; Smart transportation; Sustainability,1.5,Research Article; Review; Perspective,Yes,https://www.frontiersin.org/journals/future-transportation,,2673-5210,Addresses transportation technologies and sustainable mobility solutions
